id,subject,sender,YearMonth,received_time,IsRead
8482,New release from 999999999,Bandcamp,202301,20230110_105423,True
8483,Look du mois de janvier ,Levi’s® Red Tab™,202301,20230110_113059,True
8484,"New release from kneadedpains, who brought you Paro Hour",Bandcamp,202301,20230110_123047,True
8485,"+ 5,00 € de Jules Louis ",Lydia App,202301,20230110_132113,True
8486,"New release from kneadedpains, who brought you Paro Hour",Bandcamp,202301,20230110_133659,True
8487,📣 Prenez de l'avance : SOLDES,Woodbrass,202301,20230110_141657,True
8488,Notification,Linxo,202301,20230110_150937,True
8489,Vous avez des rendez-vous ?,Uber,202301,20230110_155230,True
8490,Vos vacances d’hiver avec le Prêt Personnel !,BNP Paribas,202301,20230110_170606,True
8491,3 idées de recettes anti gaspi avec des restes,Too Good To Go,202301,20230110_171239,True
8492,Le pire voisin au monde ? ,bonjour@ensembl.fr,202301,20230110_185316,True
8493,Présentation de la réforme des retraites | Amélioration de la couche d’ozone | Bobby l’écureuil,Brief.me,202301,20230110_190232,True
8494,Nos prix vont bientôt augmenter,Benoit de BonneGueule,202301,20230110_200050,True
8495,"Nathan, vos vacances d’hiver vous récompensent",ALL - Accor Live Limitless,202301,20230110_201537,True
8496,New Course: Communicating Data Insights,DataCamp Insights,202301,20230110_222218,True
8497,"Confirmation de réservation Bibrac, Paris, 14 mars.",reservation@aircaraibes.com,202301,20230110_234908,True
8498,BIBRAC/NATHAN 14MAR ORY PTP,"""AIRCARAIBES.COM """,202301,20230110_234909,False
8499,FW: BIBRAC/OLIVIA 14MAR ORY PTP,Olivia Bibrac,202301,20230110_235359,False
8500,Votre compte FFF va prochainement être supprimé,Fédération Française de Football,202301,20230111_043719,True
8501,Votre paiement chez AIRCARAIBES.COM vient d'�tre accept�,Service Client Oney,202301,20230111_045630,True
8502,"Nathan, à la une : Lookfantastic, Sephora, Myprotein, Françoise Saget...",news@fr.igraal.com,202301,20230111_065843,True
8503,"A vos marques, prêts, soldez !",Rakuten,202301,20230111_081134,True
8504,Pas le temps de lire nos analyses ? La solution est là !,XTB FRANCE,202301,20230111_084906,True
8505,📣 C'est les SOOOLDES,LE BHV MARAIS,202301,20230111_090232,True
8506,Jusqu'à 50% de remise sur une sélection de styles.,Levi’s® Red Tab™,202301,20230111_101301,True
8507,Bienvenue dans votre nouvelle agence !,BNP PARIBAS,202301,20230111_101425,True
8508,Nathan Bibrac - Une offre Smart TV + Box à ne pas manquer !,Bons Plans - Bouygues Telecom,202301,20230111_102933,True
8509,📣 Top départ : SOLDES,Woodbrass,202301,20230111_114406,True
8510,L'offre vidange qui soulage votre portefeuille,Midas,202301,20230111_121247,True
8511,Meilleurs voeux 2023 !,Pôle Léonard de Vinci,202301,20230111_150502,True
8512,Enhance Data Science Learning Through Industry Projects | Get a Guaranteed Data Science Job,Analytics Vidhya,202301,20230111_150827,True
8513,Notification,Linxo,202301,20230111_170336,True
8514,"Natha', du nouveau dans votre voisinage !",Ensembl',202301,20230111_170649,True
8515,Notification,Linxo,202301,20230111_170736,True
8516,BTF - Wanderers,Butterfly,202301,20230111_171713,True
8517,LCL vous souhaite une excellente année 2023 !,LCL,202301,20230111_175239,True
8518,Contestation de la réforme des retraites | Accidents de chasse | Gros plan,Brief.me,202301,20230111_191020,True
8519,Nathan Bibrac : pouvez-vous répondre à cette question sur  CLAYETTE VERRE COMPLET POUR... ?,Amazon Questions et Réponses,202301,20230111_210722,True
8520,New release from never_AWAKE,Bandcamp,202301,20230112_010814,True
8521,Record with the greatest mics ever made.,Universal Audio,202301,20230112_022643,True
8522,"Nathan, à la une : Monabanq - Compte Courant, Dr Pierre Ricaud, Thalys Belgique, New Balance...",news@fr.igraal.com,202301,20230112_065955,True
8523,L'outil ultime pour vous aider à savoir qui vous êtes vraiment et où vous voulez aller,Human Synergistics,202301,20230112_071515,True
8524,Les yeux dans les vieux 💙,Chilowé,202301,20230112_080100,True
8525,Doubs : nouveaux recensements du XXe siècle,Filae.com - Magazine,202301,20230112_084422,True
8526,SOLDES | nos smartphones à prix cassé !,Rakuten,202301,20230112_090929,True
8527,Jusqu’à 14% de cashback  💳,Binance,202301,20230112_104642,True
8528,The Acid Mind Recordings started following you on Bandcamp,Bandcamp,202301,20230112_121015,True
8529,Uniquement pour les Membres : Levi's® x AMBUSH®,Levi’s® Red Tab™,202301,20230112_131648,True
8530,Vous envisagez de manger végétarien ce mois-ci ? 🍎 ,Too Good To Go,202301,20230112_141720,True
8531,Notification,Linxo,202301,20230112_144329,True
8532,Notification,Linxo,202301,20230112_145629,True
8533,Bibrac Nathan,Piscine A.Sevestre,202301,20230112_152344,True
8534,Des réductions allant jusqu’à 20% + une annulation sans frais!,hello@mail.looking4.com,202301,20230112_160320,True
8535,Plus de maths et de français en sixième | Usine de biogaz | Histoire de l’art,Brief.me,202301,20230112_190847,True
8536,Revivez les meilleurs moments de 2022 🔥,Club Paris 2024,202301,20230112_195045,True
8537,"New release from Jahanam, who brought you Toxic Aura",Bandcamp,202301,20230112_212147,True
8538,"Nouvelle année, nouveaux records : aidez-nous à continuer à améliorer mapstr !","Sébastien, Mapstr",202301,20230112_214719,True
8539,"Nathan, à la une : Zooplus, NordVPN, Bouygues Telecom - Box Internet, G-Star Raw...",news@fr.igraal.com,202301,20230113_065847,True
8540,🤩 Les soldes continuent,LE BHV MARAIS,202301,20230113_090640,True
8541,Information importante relative à votre compte de trading - veuillez lire ce message,Justine Escudie XTB,202301,20230113_095403,True
8542,New release from ECZODIA,Bandcamp,202301,20230113_102439,True
8543,"New release from kneadedpains, who brought you Paro Hour",Bandcamp,202301,20230113_112928,True
8544,"New release from COUP, who brought you 5 Years of COUP | Part I",Bandcamp,202301,20230113_120150,True
8545,Synthèse hebdomadaire,Linxo,202301,20230113_133232,True
8546,Restez en contact avec nos meilleurs vendeurs,Rakuten,202301,20230113_134705,True
8547,"Your souvenirs will be deleted, but your memories will last... ",Heineken Experience,202301,20230113_140045,True
8548,New release from Thump Out Traxx,Bandcamp,202301,20230113_142430,True
8549,Master Over 12 Data Science Tools 🛠️ AND Get a Guaranteed Job in Data Science,Analytics Vidhya,202301,20230113_150455,True
8550,50 nuances de Polo,ASPHALTE Homme,202301,20230113_150840,True
8551,Vêtements de Ski et autres biens les plus demandés 🔍 de la semaine,leboncoin,202301,20230113_154758,True
8552,"Nathan, profitez pleinement de l'application Uber",Uber,202301,20230113_160647,True
8553,New message from MORC,Bandcamp,202301,20230113_162947,True
8554,"New release from Rave Alert, who brought you PUSH UP EP",Bandcamp,202301,20230113_163741,True
8555,"Natha', du nouveau dans votre voisinage !",Ensembl',202301,20230113_170717,True
8556,Les prix mini sont ici 👉,Transavia,202301,20230113_174533,True
8557,New release from Der Schaffner,Bandcamp,202301,20230113_184723,True
8558,La bataille de Soledar en Ukraine | Base de satellites dans l’UE | Simulateur de retraite,Brief.me,202301,20230113_190305,True
8559,Hours Left to Get 3 months of UAD Spark for 99¢,Universal Audio,202301,20230113_210009,True
8560,"New release from UNDER HELL , who brought you DXPE - No Money 4 Synths",Bandcamp,202301,20230113_211403,True
8561,📣  Profitez des soldes sur l'univers HOME STUDIO ! ,Woodbrass,202301,20230113_230119,True
8562,"New Year, New Heat 🔥 Preview Strickland vs Imavov",UFC,202301,20230114_024529,True
8563,"Nathan, à la une : Fossil, Samsung, Kiosque FAE, BazarChic.com...",news@fr.igraal.com,202301,20230114_065825,True
8564,Les effets d'un mois sans alcool 🍷,Cafeyn,202301,20230114_080222,True
8565,📱 SOLDES High-Tech | Jusqu'à 20% remboursés sur tous vos achats,Rakuten,202301,20230114_093055,True
8566,La préservation de la couche d’ozone | Les régimes spéciaux | Le rouge au cinéma,Brief.me Week-end,202301,20230114_094950,True
8567,"Natha', du nouveau dans votre voisinage !",Ensembl',202301,20230114_165102,True
8568,“The best interface for mobile producers.”,Universal Audio,202301,20230114_170002,True
8569,Nouvelle annonce PreSonus AudioBox USB 96,Notifications Audiofanzine,202301,20230114_182206,True
8570,"Confirmation de réservation Bibrac, Paris, 16 mars.",reservation@aircaraibes.com,202301,20230114_191758,True
8571,BIBRAC/NATHAN 14MAR ORY PTP,"""AIRCARAIBES.COM """,202301,20230114_191759,False
8572,BIBRAC/NATHAN 16MAR ORY PTP,"""AIRCARAIBES.COM """,202301,20230114_191800,False
8573,"n.bibrac, est ce que tu veux recevoir 10€, afin de profiter d'une réduction sur ta prochaine commande Copees?",Copees,202301,20230114_200204,True
8574,Maintenant disponible sur Prime Video,Prime Video,202301,20230114_211932,True
8575,Give these 5 a follow!,Tumblr,202301,20230114_233121,True
8576,"🪩 Profitez des soldes sur l'univers DJ, SONO & LIGHT !",Woodbrass,202301,20230115_050158,True
8577,"[Super Sunday] A la une Nathan : Castorama, Boohoo, Histoire d'Or...",news@fr.igraal.com,202301,20230115_065925,True
8578,Des réductions allant jusqu’à 20% + une annulation sans frais!,hello@mail.looking4.com,202301,20230115_080055,True
8579,🎧 Podcasts -  Extraits & teasers - ✨ Récap Décembre 2022,Heroic People-Marc Baillet,202301,20230115_084500,True
8580,L’espace | Une conquête géopolitique et scientifique,Brief.me Panorama,202301,20230115_095027,True
8581,Ne loupez pas les Boots Brutes,ASPHALTE Homme,202301,20230115_100316,True
8582,Ce dimanche : vivez la Ligue 1 Uber Eats sur Prime Video,Prime Video,202301,20230115_101539,True
8583,"Nathan, découvrez des expériences avec ALL !",ALL - Accor Live Limitless,202301,20230115_101858,True
8584,Notification,Linxo,202301,20230115_143430,True
8585,Monetico Paiement: Ticket Récapitulatif - CIC,CIC,202301,20230115_162007,True
8586,SonoVente.com - Commande SW2301150595,serviceclient@sonovente.com,202301,20230115_162008,True
8587,"Natha', du nouveau dans votre voisinage !",Ensembl',202301,20230115_165628,True
8588,Rediscover the joy of coding,GitHub,202301,20230115_225954,True
8589,Revenez et économisez 50 % ,Evernote,202301,20230116_060252,True
8590,"Nathan, à la une : Myprotein, Conforama, Dim, Bouygues Telecom - Forfaits Mobile...",news@fr.igraal.com,202301,20230116_065728,True
8591,New message from SINDEX,Bandcamp,202301,20230116_085744,True
8592,"Nouveaux recensements, nouvelles découvertes ?",Filae.com - Magazine,202301,20230116_090609,True
8593,RedThunder RT84 Clavier de...,Amazon.fr,202301,20230116_091635,True
8594,Dernier jour : frais d'adhésion 100% offerts jusqu'à ce soir 🔥,Fitness Park Nanterre - Les Champs Pierreux,202301,20230116_092031,True
8595,Vous avez de nouvelles alertes,Filae.com,202301,20230116_095600,True
8596,"En 2023, ça va carburer 🏎",L'équipe Vroomly,202301,20230116_100501,True
8597,Des nouveaux documents liés à la gestion de vos comptes et contrats sont disponibles,BNP Paribas,202301,20230116_104545,True
8598,Aidez Rakuten à s'améliorer,Rakuten,202301,20230116_114459,True
8599,Commande 11 742 776 en Préparation,serviceclient@sonovente.com,202301,20230116_120723,True
8600,"Trois marchés à surveiller cette semaine : US500, GBPJPY & EURUSD",XTB FRANCE,202301,20230116_130238,True
8601,Votre commande 11 742 776 est disponible,infos@sonovente.com,202301,20230116_131704,False
8602,«The Week» by François Bloch,payoff,202301,20230116_135512,True
8603,A noter : cette solution vous permet d'effectuer sans frais vos virements internationaux en ligne,BNP Paribas,202301,20230116_140828,True
8604,"A peine arrivé, déjà surclassé ",Transavia,202301,20230116_142807,True
8605,Seulement sur Prime Video,Prime Video,202301,20230116_143114,True
8606,Notification,Linxo,202301,20230116_143839,True
8607,EPOS Sennheiser jusqu'à -44%,GAMINGPRIVE.COM,202301,20230116_161550,True
8608,Alerte de sécurité : nouvelle connexion ou connexion inhabituelle à Twitter,Twitter,202301,20230116_165041,True
8609,Lisez le rapport gratuit XTB et préparez-vous pour 2023,XTB FRANCE,202301,20230116_170641,True
8610,New release from OIZ Records,Bandcamp,202301,20230116_183741,True
8611,Des chars lourds envoyés à l’Ukraine | Faux streams sur les plateformes | Animaux camouflés,Brief.me,202301,20230116_191752,True
8612,Votre course de lundi soir en Uber,Reçu Uber,202301,20230116_200642,True
8613,Vous allez être au courant ⚡,Uber,202301,20230116_202135,True
8614,🎹 Profitez des soldes sur l'univers SYNTHE & CLAVIER !,Woodbrass,202301,20230116_210133,True
